Table 4-51:  Air Pollution Trends in Selected Metropolitan Statistical Areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Number of days with AQI values greater than 100 at monitoring sites),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sites in 2010,Sites in 2020,Number of days with AQI > 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Springfield, MA",5,3,63,108,81,71,54,57,70,33,20,32,32,31,16,38,36,23,16,31,21,31,19,13,12,13,15,6,0,6,6,5,3,0,0
"Stockton-Lodi, CA",4,3,44,56,34,49,41,30,35,32,56,13,33,49,34,24,38,27,14,15,37,27,32,24,13,43,42,33,34,36,26,33,33,(R) 12,34
"Syracuse, NY",5,4,81,118,18,31,11,16,16,15,5,12,15,23,9,23,28,12,7,22,5,16,5,1,6,2,8,0,0,1,2,0,2,0,0
"Tampa-St. Petersburg-Clearwater, FL",(R) 32,36,181,163,156,118,196,204,203,159,169,174,188,170,140,120,112,99,56,68,65,56,27,18,20,22,18,6,7,5,6,4,5,6,3
"Toledo, OH",11,10,128,69,38,39,28,39,43,31,38,23,31,43,19,44,43,34,19,40,12,25,13,7,8,11,26,1,5,1,5,4,10,1,8
"Tucson, AZ",(R) 22,19,190,92,30,16,20,31,30,28,17,16,24,17,23,4,11,31,9,18,19,11,17,2,5,20,9,8,3,1,4,7,11,2,13
"Tulsa, OK",(R) 13,16,121,107,111,113,85,41,60,72,44,53,102,79,46,68,41,38,29,49,43,21,17,18,9,46,48,11,2,2,3,2,11,2,2
"Virginia Beach-Norfolk-Newport News, VA-NC",(R) 5,5,105,52,51,52,38,72,41,49,37,68,59,53,48,33,52,22,21,20,21,24,28,0,17,16,7,3,0,0,3,0,0,0,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",(R) 25,22,124,120,96,118,68,102,89,82,66,73,94,96,70,82,87,55,46,63,56,66,38,14,50,39,36,12,10,14,16,8,10,11,3
"Wichita, KS",9,9,14,14,12,22,10,1,6,11,8,20,29,20,27,37,29,23,2,16,25,4,3,6,13,23,34,8,4,0,1,0,0,0,6
"Worcester, MA",5,4,41,31,13,24,30,19,35,30,15,26,27,36,17,33,39,20,15,22,17,30,11,8,7,6,10,4,2,3,5,5,7,1,0
"Youngstown-Warren-Boardman,  OH",13,10,120,69,54,78,47,68,58,50,50,37,60,51,30,59,48,30,30,47,20,39,19,7,17,11,25,4,6,5,6,4,5,0,4
KEY:  AQI = Air Quality Index; N = data do not exist; R = revised.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Air Quality Index (AQI) integrates information on 6 major pollutants (particulate matter less than 10 microns in diameter, particulate matter less than 2.5 microns in diameter, sulfur dioxide, carbon monoxide, ozone, and nitrogen dioxide) across an entire monitoring network into a single number that represents the worst daily air quality experienced in an urban area. An AQI greater than 100 indicates that at least 1 criteria pollutant exceeded air quality standards on a given day; therefore, air quality would be in the unhealthful range on that day.  Air quality monitoring sites are selected as ""trend sites"" if they have complete data for at least 8 of the 10 last years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The major reason for revisions to the historical data for the AQI is that changes in the National Ambient Air Quality Standards (NAAQS) are retroactively applied to the data for previous years to provide consistent comparisons over time. In addition, data from monitoring stations that have fallen below/surpassed the criterion to qualify as a 'trend site' is excluded/included in the latest calculation of the index.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data for 1999 to 2009 include particulate matter 2.5 micron in diameter (PM 2.5).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Particulate matter is the term for solid or liquid particles found in the air.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Environmental Protection Agency, Office of Air and Radiation, Air Trends, Air Quality Index: Daily AQI, available at https://aqs.epa.gov/aqsweb/airdata/download_files.html as of Jun. 10, 2021.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
